"system","sample","sample_start","sample_end","nobs","dependent_variable","cost_variable","model_id","model","test","test_label","statistics","1pct","5pct","10pct","reject_1pct","reject_5pct","reject_10pct","break_index","break_month","trim","lrv_bandwidth","lrv_kernel"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",1,"C_level_shift","PP_Zt","Zt*",-5.2852640536733,-5.13,-4.61,-4.34,TRUE,TRUE,TRUE,54,"2018-06-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",1,"C_level_shift","PP_Za","Za*",-35.6994100068586,-50.07,-40.48,-36.19,FALSE,FALSE,FALSE,14,"2015-02-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","ADF_t","ADF*",-38.7302287224283,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,115,"2023-07-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","PP_Zt","Zt*",-38.5012991123239,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,115,"2023-07-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","PP_Za","Za*",-38.2379603626716,-57.28,-47.96,-43.22,FALSE,FALSE,FALSE,115,"2023-07-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",3,"C_S_regime_shift","ADF_t","ADF*",-4.32588020600892,-5.47,-4.95,-4.68,FALSE,FALSE,FALSE,27,"2016-03-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",3,"C_S_regime_shift","PP_Zt","Zt*",-5.2118676191444,-5.47,-4.95,-4.68,FALSE,TRUE,TRUE,102,"2022-06-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",3,"C_S_regime_shift","PP_Za","Za*",-34.3249710690542,-57.17,-47.04,-41.85,FALSE,FALSE,FALSE,103,"2022-07-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",4,"regime_and_trend_shift","ADF_t","ADF*",-4.33424440705567,-6.02,-5.5,-5.24,FALSE,FALSE,FALSE,27,"2016-03-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",4,"regime_and_trend_shift","PP_Zt","Zt*",-5.31537157196998,-6.02,-5.5,-5.24,FALSE,FALSE,TRUE,83,"2020-11-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",4,"regime_and_trend_shift","PP_Za","Za*",-37.2566157706694,-69.37,-58.58,-53.31,FALSE,FALSE,FALSE,83,"2020-11-01",0.1,"nw","ba"
