sample_start,sample_end,variable,label,transformation,test,deterministic,nlags_requested,lags_used,statistic,p_value,critical_1pct,critical_5pct,critical_10pct,reject_at_5pct,warning,nobs
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,6,6,0.3943921424010897,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,8,8,0.31631248514131505,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,9,9,0.289101791712966,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,12,12,0.2328118924410535,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,18,18,0.17413772767499955,0.026551893604167036,0.216,0.146,0.119,True,,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,24,24,0.14528843188625526,0.051317718729156914,0.216,0.146,0.119,False,,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,auto,6,0.6290954782588585,0.019991320158285593,0.739,0.463,0.347,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,legacy,14,0.44968776457061393,0.055738032512666416,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,1,1,1.1138107307227392,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,2,2,0.9217921677434113,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,3,3,0.8163780776418899,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,4,4,0.7374611623745668,0.010139894329584833,0.739,0.463,0.347,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,6,6,0.6290954782588585,0.019991320158285593,0.739,0.463,0.347,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,8,8,0.5636131249196038,0.027339386279368508,0.739,0.463,0.347,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,9,9,0.5401647615770806,0.032620549194351214,0.739,0.463,0.347,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,12,12,0.47521626812264,0.04724858826066667,0.739,0.463,0.347,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,18,18,0.4184523104380327,0.06920159032843418,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,24,24,0.3925351340522716,0.08037278704643466,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,auto,6,0.19369202291766782,0.018365491405874564,0.216,0.146,0.119,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,legacy,14,0.14829663278269326,0.048086139347755616,0.216,0.146,0.119,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,1,1,0.3132953641400266,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,2,2,0.26542790549288225,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,3,3,0.24023210100199077,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,4,4,0.22081148756670738,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,6,6,0.19369202291766782,0.018365491405874564,0.216,0.146,0.119,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,8,8,0.17778502481949762,0.02433061569268839,0.216,0.146,0.119,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,9,9,0.17232455611996544,0.028062869900028792,0.216,0.146,0.119,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,12,12,0.15455469752564424,0.04287108539529646,0.216,0.146,0.119,True,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,18,18,0.14263805568737434,0.05622582280115862,0.216,0.146,0.119,False,,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,24,24,0.14224861906513728,0.05694700173122725,0.216,0.146,0.119,False,,184
