month,bitcoin_market_price_usd_monthly,network_difficulty_monthly,blocks_mined_monthly,total_transaction_fees_btc_monthly,new_coins_issued_btc_monthly,total_miner_compensation_btc_monthly,total_miner_compensation_usd_monthly,miner_compensation_per_block_btc_monthly,implied_block_subsidy_btc_monthly,coinmetrics_bitcoin_price_usd_monthly,bitcoinvisuals_block_subsidy_btc_monthly,analysis_sample,daily_observations,calendar_days_in_month,price_observation_days,difficulty_observation_days,blocks_observation_days,compensation_observation_days,complete_price_month,complete_backbone_month,frontier_efficiency_j_per_th,frontier_hardware_model,frontier_hardware_type,frontier_release_date,frontier_changed,eta_weighted_avg_j_per_th,n_active_devices,sum_weights,energy_per_block_frontier_j,energy_per_block_weighted_j,mci_frontier_j_per_btc,mci_weighted_j_per_btc,log_bitcoin_market_price_usd,log_mci_frontier,log_mci_weighted
2012-01-01,6.165635112202178,1245695.8127227845,4744.0,582.03782178,237200.0,237782.03782178,1457916.5760423092,50.12268925416948,50.0,6.125424524697875,50.0,True,31,31,31,31,31,31,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,3958691.622727273,5.0,4.4,230059579.38556552,21179882084.69298,4589928.8886704715,422560768.38357437,1.8189911503211105,15.33937508925233,19.861843824912555
2012-02-01,5.196795297636911,1370938.676440577,4355.0,157.11667532,217750.0,217907.11667532,1114453.0858379882,50.03607730776579,50.0,5.116484992492795,50.0,True,29,29,29,29,29,29,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,3328344.062962963,6.0,5.4,253189881.54575357,19597745094.072205,5060146.501661463,391672292.24483114,1.6480421466873283,15.436905993742043,19.785936058949567
2012-03-01,4.936607101048334,1506177.088995026,4669.0,155.3775804,233450.0,233605.3775804,1145991.64108581,50.033278556521736,50.0,4.905492498604853,50.0,True,31,31,31,31,31,31,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,2905829.392307692,6.0,5.2,278166197.58637905,18797756113.789986,5559623.626745536,375705063.83175516,1.5966782735796543,15.53104097090411,19.744314988845048
2012-04-01,4.985527799842264,1590437.10257597,4210.0,164.90758225,210500.0,210664.90758225,1051899.6132677784,50.03917044709026,50.0,4.991582861143581,50.0,True,30,30,30,30,30,30,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,2750547.416,6.0,5.0,293727639.7020779,18788646520.705338,5869954.21941808,375478776.9827604,1.6065392754104206,15.585357392696878,19.743712508217683
2012-05-01,5.051972929603852,1643147.171967346,4414.0,467.954632,220700.0,221167.954632,1121408.2275786654,50.106016001812414,50.0,5.071734502875134,50.0,True,31,31,31,31,31,31,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,2750547.416,6.0,5.0,303462324.74292946,19411337515.698082,6056404.978036026,387405327.036896,1.6197788461215237,15.616626944062391,19.7749820595832
2012-06-01,5.956452703944365,1637859.605593029,4535.0,646.23576223,226750.0,227396.23576223,1371863.950815012,50.14249961680926,50.0,6.04202499039548,50.0,True,30,30,30,30,30,30,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,2750547.416,6.0,5.0,302485797.98284525,19348872791.12589,6032523.314442884,385877707.31396824,1.7844751199830562,15.612675941279969,19.771031056800776
2012-07-01,7.791177384213745,1815646.37998186,4773.0,590.4305005,238650.0,239240.4305005,1899405.9209689747,50.123702179027866,50.0,7.9297220413642275,50.0,True,31,31,31,31,31,31,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,2750547.416,6.0,5.0,335320098.3942838,21449158841.19216,6689850.985001348,427924473.028384,2.052991988925983,15.716102157566551,19.87445727308736
2012-08-01,10.94789650025206,2192552.833399208,4879.0,777.52146733,243950.0,244727.52146733,2669874.5710929986,50.15936082544169,50.0,10.922707150411952,50.0,True,31,31,31,31,31,31,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,2862028.5583333336,6.0,4.8,404928536.7106746,26951558980.23438,8072840.842606748,537318628.8004708,2.3931473373752565,15.904016003405996,20.102101826232342
2012-09-01,11.494819347482064,2714180.9987290204,4695.0,692.10654161,234750.0,235442.10654161,2735672.138398981,50.14741353388924,50.0,11.625039509653226,50.0,True,30,30,30,30,30,30,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,2862028.5583333336,6.0,4.8,501264700.87352765,33363578818.243073,9995823.623780252,665310062.2167925,2.4418964423441145,16.117677926101464,20.31576374892781
2012-10-01,11.67490659867341,3065869.7321017245,4608.0,811.28938779,230400.0,231211.28938779,2707863.9854545463,50.17606106505859,50.0,11.741053100742825,50.0,True,31,31,31,31,31,31,True,True,43000.0,X6500 FPGA Miner,FPGA,2011-08-01,False,2984595.0173913045,6.0,4.6,566215840.026447,39300580811.882935,11284581.292506961,783253606.9526374,2.4574418034093335,16.23894786453321,20.478967092896266
